,Game,Hours_watched,Prediccion enero 2024:1 seguirá/0 no seguirá,Hours Watched 2024,Diferencia Hours Watched (%)
45,Talk Shows & Podcasts,4956775.0,1,15547892.0,213.0
46,Valheim,4786270.0,1,6282214.0,31.0
47,Albion Online,4675736.0,1,4414450.0,-5.0
48,Sea of Thieves,4495112.0,1,12071922.0,168.0
49,Black Desert,4151688.0,1,5902587.0,42.0
50,Super Smash Bros. Ultimate,4095330.0,1,4886552.0,19.0
51,Red Dead Redemption 2,3986694.0,1,20543880.0,415.0
52,Project Zomboid,3923359.0,1,3500115.0,-10.0
53,Fall Guys,3919737.0,0,1801375.0,-54.0
54,Travel & Outdoors,3911709.0,1,3421424.0,-12.0
